180,157,173
157,180,164
75,101,61
75,60,92
75,92,108
101,75,108
75,61,47
60,75,47
105,124,135
135,124,148
124,136,148
124,111,136
124,105,95
111,124,95
48,60,33
67,48,41
25,48,33
41,48,25
76,67,95
60,76,92
76,48,67
48,76,60
105,76,95
76,105,92
696,705,682
706,696,687
761,776,745
788,761,773
788,798,811
798,788,773
803,788,811
776,788,803
788,776,761
755,747,778
747,755,730
755,740,730
740,755,767
712,723,736
733,723,711
700,688,711
723,700,711
700,723,712
746,723,733
723,746,736
736,746,762
746,775,762
792,778,762
775,792,762
78,102,96
102,78,70
78,64,50
64,35,50
64,51,35
64,78,96
34,55,65
55,81,65
68,97,81
55,68,81
122,97,110
122,143,134
133,122,110
122,133,143
97,109,81
81,109,93
109,122,134
122,109,97
49,34,65
44,62,38
36,17,30
36,58,46
36,46,23
17,36,23
129,103,115
117,103,129
103,117,91
103,91,73
86,103,73
103,86,115
66,89,74
89,66,85
66,56,85
372,385,360
358,331,344
344,331,318
321,331,347
331,358,347
358,369,383
369,394,383
394,369,381
369,358,344
396,382,371
382,396,407
381,395,406
395,419,406
419,395,407
395,382,407
422,432,445
557,543,530
558,569,542
325,352,340
352,325,337
425,436,446
438,425,446
387,412,401
412,425,401
425,412,436
436,412,423
370,395,381
395,370,382
258,268,281
268,294,281
294,268,278
305,294,278
305,290,318
290,305,278
331,305,318
294,305,321
305,331,321
132,141,151
308,297,281
297,308,323
297,323,311
284,297,311
268,249,278
225,254,246
254,225,239
161,152,138
152,126,138
126,152,146
146,152,169
152,179,169
152,161,179
172,161,150
274,261,247
261,274,287
403,415,429
415,403,391
403,390,378
391,403,378
312,329,341
328,312,341
329,312,300
312,287,300
287,312,301
312,328,301
316,336,309
328,316,301
355,328,341
355,367,378
367,355,341
364,355,378
413,438,427
425,413,401
413,425,438
379,391,367
354,379,367
286,298,313
298,325,313
298,284,311
325,298,311
461,433,447
474,461,447
461,474,488
490,504,477
504,487,477
468,493,480
346,359,371
359,346,333
384,373,398
384,359,373
384,396,371
359,384,371
435,447,421
424,409,398
409,384,398
384,409,396
396,409,421
409,435,421
435,409,424
411,424,398
365,339,353
641,617,627
843,845,830
833,845,847
845,833,830
806,782,795
753,769,782
806,797,782
797,806,820
743,753,729
753,743,769
743,731,752
774,743,752
769,743,774
690,679,703
710,690,703
719,710,731
719,743,729
743,719,731
835,813,824
813,819,793
821,819,837
819,835,837
835,819,813
826,821,839
516,503,488
503,516,530
529,512,539
501,516,488
512,501,486
501,529,516
529,501,512
501,474,486
474,501,488
600,584,568
584,557,568
600,582,611
582,600,568
646,658,633
658,648,633
658,669,648
585,612,615
597,585,615
569,585,597
585,569,558
612,585,594
644,630,654
629,644,653
196,184,174
315,326,339
221,251,240
251,269,240
199,214,192
167,144,160
144,167,153
153,167,174
174,167,191
183,167,160
167,183,191
154,166,143
133,154,143
176,162,151
296,307,280
333,307,322
307,296,322
365,351,339
478,492,466
666,682,689
666,689,676
652,666,676
666,652,643
628,613,643
599,613,628
554,565,538
528,554,538
554,528,536
562,554,536
696,674,687
674,696,682
829,810,812
810,829,834
833,829,812
834,829,846
846,829,847
829,833,847
791,783,765
810,791,812
783,791,810
673,685,694
709,685,697
685,709,694
685,673,660
740,750,728
750,740,767
750,741,728
741,750,766
750,777,766
777,750,767
802,794,816
802,777,794
777,802,790
508,496,521
482,496,471
634,647,660
624,592,609
678,663,657
663,678,688
170,158,148
158,173,145
158,135,148
135,158,145
173,181,193
158,181,173
181,158,170
159,170,148
159,146,169
136,159,148
146,159,136
195,182,169
182,159,169
159,182,170
